build_number,device_id,first_seen,hostname,kernel_version,last_seen,local_ip,os_build,os_version,platform_name,status
9200,b7a77417a44642e49e5c5f381d4c056e,2022-01-10T15:55:33Z,ATRFRB4ADC01,6.2.9200.24013,2022-12-28T12:10:36Z,10.2.201.31,9200,Windows Server 2012,Windows,normal
9200,21aa4ab2d05e4a898a54e0ad6a73e628,2022-01-10T15:53:31Z,ATRFRG1ADC02,6.2.9200.24013,2022-12-28T12:05:56Z,10.2.201.32,9200,Windows Server 2012,Windows,normal
9200,45da6a21a36b4ae29009b18c42b4b41c,2022-01-10T15:15:26Z,ATRFRVMIPW01,6.2.9200.24013,2022-12-28T12:06:32Z,10.2.201.36,9200,Windows Server 2012,Windows,normal
9200,c30474545e3a458aa7383ee5117ea0db,2022-01-10T15:51:02Z,ATRFRVMIPW02,6.2.9200.24013,2022-12-28T12:02:39Z,10.2.201.37,9200,Windows Server 2012,Windows,normal
9200,8c30e0343ac544cc92e7f965d06ba2cf,2022-01-10T15:44:05Z,ATRFRVMNET01,6.2.9200.24013,2022-12-28T12:06:59Z,10.2.201.44,9200,Windows Server 2012,Windows,normal
9200,4056bf5dee484ffaaa32b19842c334c6,2022-01-10T15:32:28Z,ATRFRVMTEMPBC01,6.2.9200.24013,2022-12-28T12:10:09Z,10.2.201.49,9200,Windows Server 2012,Windows,normal
9200,f07821fe886648f49b8287b266c61160,2022-01-10T15:41:41Z,ATRFRVMTSE01,6.2.9200.24013,2022-12-28T12:07:08Z,10.2.201.34,9200,Windows Server 2012,Windows,normal
9200,0abd7624b052403e846716586a0dc76a,2022-01-10T15:54:52Z,ATRFRVMTSE02,6.2.9200.24013,2022-12-28T12:04:08Z,10.2.201.35,9200,Windows Server 2012,Windows,normal
19045,911ca75ac94246aa8d39a1f680287630,2022-03-09T12:07:24Z,BEBRULAP057,10.0.19045.2251,2022-12-28T12:04:20Z,169.254.116.190,19045,Windows 10,Windows,normal
19045,af28948817af45da8014f302affab531,2022-04-26T06:35:26Z,BEBRULAP101,10.0.19045.2251,2022-12-28T12:09:50Z,10.2.163.141,19045,Windows 10,Windows,normal
19045,26d8dbdcebc240eca11f9d957c6202b9,2022-06-23T11:02:05Z,BELAP0001,10.0.19045.2251,2022-12-28T12:06:40Z,192.168.0.229,19045,Windows 10,Windows,normal
19045,82f2d2abca4c405291fe45bdd3b8c4a3,2022-06-23T12:37:11Z,BELAP0004,10.0.19045.2251,2022-12-28T12:06:20Z,10.7.6.4,19045,Windows 10,Windows,normal
19044,8a3d4019da9e4e8f920479ce97854d6c,2022-09-30T12:44:44Z,BELAP0005,10.0.19044.1889,2022-12-28T11:22:33Z,10.2.163.155,19044,Windows 10,Windows,normal
19045,b0ab28ebf14d4d40818dacbaeed2a5ec,2022-06-23T12:36:21Z,BELAP0006,10.0.19045.2251,2022-12-23T15:27:53Z,192.168.0.230,19045,Windows 10,Windows,normal
19045,8814f29cdd394cd99e94a1edec9e7372,2022-06-23T15:01:51Z,BELAP0007,10.0.19045.2251,2022-12-23T11:30:40Z,10.2.163.118,19045,Windows 10,Windows,normal
19045,a6648a2d1a884110bd9beb1940053709,2022-06-24T09:45:02Z,BELAP0008,10.0.19045.2251,2022-12-28T11:52:22Z,10.7.6.5,19045,Windows 10,Windows,normal
19045,8360eb6c3e2e427986fe4e779d0575b3,2022-06-23T15:44:54Z,BELAP0009,10.0.19045.2364,2022-12-28T12:02:04Z,192.168.0.154,19045,Windows 10,Windows,normal
19045,c0cbb4d0dc874a3cbeb9b5c79765dea1,2022-06-23T16:41:43Z,BELAP0010,10.0.19045.2251,2022-12-23T14:11:44Z,10.212.168.202,19045,Windows 10,Windows,normal
19045,7b54ede36288442f8a0f7a4be5abe07f,2022-06-24T09:48:59Z,BELAP0011,10.0.19045.2251,2022-12-23T15:34:59Z,10.7.6.8,19045,Windows 10,Windows,normal
19045,8302389ff9344bbda2beabf7d1338237,2022-06-24T10:27:30Z,BELAP0012,10.0.19045.2364,2022-12-26T17:20:36Z,192.168.1.24,19045,Windows 10,Windows,normal
19045,03ca13d63ddd4c1ca702c1ce528e6c9a,2022-06-24T12:54:24Z,BELAP0013,10.0.19045.2251,2022-12-23T15:29:32Z,10.2.162.62,19045,Windows 10,Windows,normal
19045,d6b56b4a9c9c4a028c15ca6a11ef6abd,2022-06-24T13:37:04Z,BELAP0014,10.0.19045.2251,2022-12-27T15:02:56Z,192.168.1.121,19045,Windows 10,Windows,normal
19043,5951ba77d2e0493e83fea0e06fe7fcf7,2022-06-28T12:03:51Z,BELAP0015,10.0.19043.928,2022-12-12T16:21:36Z,10.7.6.17,19043,Windows 10,Windows,normal
19045,4228cd6530f2458bb52f94eae6ca7e8f,2022-06-29T05:45:23Z,BELAP0017,10.0.19045.2364,2022-12-28T12:08:32Z,10.7.6.3,19045,Windows 10,Windows,normal
19045,f671dbfce2fa467dac3993ea7b8ca1e0,2022-06-29T05:45:21Z,BELAP0018,10.0.19045.2006,2022-11-16T13:09:34Z,10.8.6.46,19045,Windows 10,Windows,normal
19045,6ebb806057a84215b498fdeed2e263d9,2022-08-03T07:53:35Z,BELAP0019,10.0.19045.2251,2022-12-23T17:20:48Z,192.168.1.18,19045,Windows 10,Windows,normal
19043,f0fbb79a31fe453a873b00a589584786,2022-06-29T05:45:25Z,BELAP0020,10.0.19043.928,2022-12-22T13:12:12Z,192.168.1.9,19043,Windows 10,Windows,normal
